代號,名稱,年月日,報酬率％
1101,台泥,2022/12/30,-0.1484
1101,台泥,2022/12/29,-1.7493
1101,台泥,2022/12/28,0
1101,台泥,2022/12/27,-0.2907
1101,台泥,2022/12/26,1.0279
1101,台泥,2022/12/23,-1.1611
1101,台泥,2022/12/22,1.1747
1101,台泥,2022/12/21,1.0386
1101,台泥,2022/12/20,-0.4431
1101,台泥,2022/12/19,-2.1676
1101,台泥,2022/12/16,3.1297
1101,台泥,2022/12/15,0.1493
1101,台泥,2022/12/14,-0.5935
1101,台泥,2022/12/13,-0.4431
1101,台泥,2022/12/12,0.4451
1101,台泥,2022/12/09,1.506
1101,台泥,2022/12/08,-0.4498
1101,台泥,2022/12/07,0.1502
1101,台泥,2022/12/06,-1.1869
1101,台泥,2022/12/05,0.1486
1101,台泥,2022/12/02,-1.1747
1101,台泥,2022/12/01,0.4425
1101,台泥,2022/11/30,1.0432
1101,台泥,2022/11/29,1.6667
1101,台泥,2022/11/28,-1.6393
1101,台泥,2022/11/25,1.0542
1101,台泥,2022/11/24,1.5291
1101,台泥,2022/11/23,0.1531
1101,台泥,2022/11/22,-0.6088
1101,台泥,2022/11/21,-1.3514
1101,台泥,2022/11/18,-2.7737
1101,台泥,2022/11/17,4.1033
1101,台泥,2022/11/16,-2.8065
1101,台泥,2022/11/15,-0.8785
1101,台泥,2022/11/14,6.2208
1101,台泥,2022/11/11,1.4196
1101,台泥,2022/11/10,-0.627
1101,台泥,2022/11/09,0.7899
1101,台泥,2022/11/08,2.0968
1101,台泥,2022/11/07,1.8062
1101,台泥,2022/11/04,0.495
1101,台泥,2022/11/03,-1.4634
1101,台泥,2022/11/02,0.3263
1101,台泥,2022/11/01,1.3223
1101,台泥,2022/10/31,-0.8197
1101,台泥,2022/10/28,-1.1345
1101,台泥,2022/10/27,1.8152
1101,台泥,2022/10/26,1.3378
1101,台泥,2022/10/25,-2.2876
1101,台泥,2022/10/24,-1.2903
1101,台泥,2022/10/21,0.3236
1101,台泥,2022/10/20,-2.2152
1101,台泥,2022/10/19,0.4769
1101,台泥,2022/10/18,-0.7886
1101,台泥,2022/10/17,-2.1605
1101,台泥,2022/10/14,-0.7657
1101,台泥,2022/10/13,-3.2593
1101,台泥,2022/10/12,-0.1479
1101,台泥,2022/10/11,-1.3139
1101,台泥,2022/10/07,-0.1458
1101,台泥,2022/10/06,0.4392
1101,台泥,2022/10/05,0.8863
1101,台泥,2022/10/04,0.5944
1101,台泥,2022/10/03,-0.4438
1101,台泥,2022/09/30,-1.0249
1101,台泥,2022/09/29,-2.149
1101,台泥,2022/09/28,-2.514
1101,台泥,2022/09/27,-0.1395
1101,台泥,2022/09/26,-3.1081
1101,台泥,2022/09/23,-1.4647
1101,台泥,2022/09/22,-1.4436
1101,台泥,2022/09/21,-1.1673
1101,台泥,2022/09/20,-0.6443
1101,台泥,2022/09/19,0.5181
1101,台泥,2022/09/16,-2.402
1101,台泥,2022/09/15,-0.2522
1101,台泥,2022/09/14,-0.6266
1101,台泥,2022/09/13,0.2513
1101,台泥,2022/09/12,-0.1255
1101,台泥,2022/09/08,0.3778
1101,台泥,2022/09/07,-0.3764
1101,台泥,2022/09/06,1.9182
1101,台泥,2022/09/05,1.5584
1101,台泥,2022/09/02,-1.0283
1101,台泥,2022/09/01,-1.0178
1101,台泥,2022/08/31,0.1274
1101,台泥,2022/08/30,-0.2541
1101,台泥,2022/08/29,-0.7566
1101,台泥,2022/08/26,0.2528
1101,台泥,2022/08/25,0.7643
1101,台泥,2022/08/24,-0.2541
1101,台泥,2022/08/23,-0.7566
1101,台泥,2022/08/22,0.507
1101,台泥,2022/08/19,-0.8794
1101,台泥,2022/08/18,-0.5
1101,台泥,2022/08/17,1.6518
1101,台泥,2022/08/16,0.1272
1101,台泥,2022/08/15,0
1101,台泥,2022/08/12,-0.1271
1101,台泥,2022/08/11,1.5484
1101,台泥,2022/08/10,0
1101,台泥,2022/08/09,0.1292
1101,台泥,2022/08/08,-0.3861
1101,台泥,2022/08/05,0.2581
1101,台泥,2022/08/04,-0.8951
1101,台泥,2022/08/03,-0.1277
1101,台泥,2022/08/02,-0.8861
1101,台泥,2022/08/01,1.9355
1101,台泥,2022/07/29,1.4398
1101,台泥,2022/07/28,0.9247
1101,台泥,2022/07/27,0.1323
1101,台泥,2022/07/26,-0.1321
1101,台泥,2022/07/25,0.3979
