證券代碼,年,序號,事件日
V1TSE 上市台灣50納入日,2023,1,20070122
V1TSE 上市台灣50納入日,2023,2,20070321
V1TSE 上市台灣50納入日,2023,3,20020430
V1TSE 上市台灣50納入日,2023,4,20060724
V1TSE 上市台灣50納入日,2023,5,20020430
V1TSE 上市台灣50納入日,2023,6,20020430
V1TSE 上市台灣50納入日,2023,7,20020430
V1TSE 上市台灣50納入日,2023,8,20020430
V1TSE 上市台灣50納入日,2023,9,20221219
V1TSE 上市台灣50納入日,2023,10,20150921
V1TSE 上市台灣50納入日,2023,11,20210322
V1TSE 上市台灣50納入日,2023,12,20040419
V1TSE 上市台灣50納入日,2023,13,20230320
V1TSE 上市台灣50納入日,2023,14,20080421
V1TSE 上市台灣50納入日,2023,15,20110919
V1TSE 上市台灣50納入日,2023,16,20020430
V1TSE 上市台灣50納入日,2023,17,20030421
V1TSE 上市台灣50納入日,2023,18,20090120
V1TSE 上市台灣50納入日,2023,19,20020430
V1TSE 上市台灣50納入日,2023,20,20110919
V1TSE 上市台灣50納入日,2023,21,20020430
V1TSE 上市台灣50納入日,2023,22,20120319
V1TSE 上市台灣50納入日,2023,23,20190318
V1TSE 上市台灣50納入日,2023,24,20131223
V1TSE 上市台灣50納入日,2023,25,20020430
V1TSE 上市台灣50納入日,2023,26,20230918
V1TSE 上市台灣50納入日,2023,27,20020430
V1TSE 上市台灣50納入日,2023,28,20020430
V1TSE 上市台灣50納入日,2023,29,20020430
V1TSE 上市台灣50納入日,2023,30,20020430
V1TSE 上市台灣50納入日,2023,31,20020430
V1TSE 上市台灣50納入日,2023,32,20160620
V1TSE 上市台灣50納入日,2023,33,20180418
V1TSE 上市台灣50納入日,2023,34,20020430
V1TSE 上市台灣50納入日,2023,35,20020430
V1TSE 上市台灣50納入日,2023,36,20020430
V1TSE 上市台灣50納入日,2023,37,20020430
V1TSE 上市台灣50納入日,2023,38,20230918
V1TSE 上市台灣50納入日,2023,39,20071022
V1TSE 上市台灣50納入日,2023,40,20020430
V1TSE 上市台灣50納入日,2023,41,20030721
V1TSE 上市台灣50納入日,2023,42,20020430
V1TSE 上市台灣50納入日,2023,43,20020430
V1TSE 上市台灣50納入日,2023,44,20050719
V1TSE 上市台灣50納入日,2023,45,20020430
V1TSE 上市台灣50納入日,2023,46,20020430
V1TSE 上市台灣50納入日,2023,47,20020430
V1TSE 上市台灣50納入日,2023,48,20020430
V1TSE 上市台灣50納入日,2023,49,20040719
V1TSE 上市台灣50納入日,2023,50,20020430
V1TSE 上市台灣50納入日,2023,51,20020430
V1TSE 上市台灣50納入日,2023,52,20020430
V1TSE 上市台灣50納入日,2023,53,20200921
V1TSE 上市台灣50納入日,2023,54,20020430
V1TSE 上市台灣50納入日,2023,55,20020430
V1TSE 上市台灣50納入日,2023,56,20140623
V1TSE 上市台灣50納入日,2023,57,20020430
V1TSE 上市台灣50納入日,2023,58,20020430
V1TSE 上市台灣50納入日,2023,59,20141222
V1TSE 上市台灣50納入日,2023,60,20020430
V1TSE 上市台灣50納入日,2023,61,20210621
V1TSE 上市台灣50納入日,2023,62,20030421
V1TSE 上市台灣50納入日,2023,63,20020430
V1TSE 上市台灣50納入日,2023,64,20051024
V1TSE 上市台灣50納入日,2023,65,20110620
V1TSE 上市台灣50納入日,2023,66,20180618
V1TSE 上市台灣50納入日,2023,67,20050719
V1TSE 上市台灣50納入日,2023,68,20030120
V1TSE 上市台灣50納入日,2023,69,20080421
V1TSE 上市台灣50納入日,2023,70,20210621
V1TSE 上市台灣50納入日,2023,71,20031020
V1TSE 上市台灣50納入日,2023,72,20210621
V1TSE 上市台灣50納入日,2023,73,20021223
V1TSE 上市台灣50納入日,2023,74,20210621
V1TSE 上市台灣50納入日,2023,75,20110124
V1TSE 上市台灣50納入日,2023,76,20170619
V1TSE 上市台灣50納入日,2023,77,20020430
V1TSE 上市台灣50納入日,2023,78,20020430
V1TSE 上市台灣50納入日,2023,79,20020430
V1TSE 上市台灣50納入日,2023,80,20020430
V1TSE 上市台灣50納入日,2023,81,20020430
V1TSE 上市台灣50納入日,2023,82,20220321
V1TSE 上市台灣50納入日,2023,83,20050124
