證券代碼	年月日	日報酬率 %
Y9997 報酬指數	2003/01/03	2.2418
Y9997 報酬指數	2003/01/06	1.3812
Y9997 報酬指數	2003/01/07	0.2392
Y9997 報酬指數	2003/01/08	2.8899
Y9997 報酬指數	2003/01/09	-0.4777
Y9997 報酬指數	2003/01/10	0.77
Y9997 報酬指數	2003/01/13	2.8957
Y9997 報酬指數	2003/01/14	0.0232
Y9997 報酬指數	2003/01/15	0.5063
Y9997 報酬指數	2003/01/16	-1.483
Y9997 報酬指數	2003/01/17	-0.7183
Y9997 報酬指數	2003/01/20	0.8814
Y9997 報酬指數	2003/01/21	-0.1044
Y9997 報酬指數	2003/01/22	0.9585
Y9997 報酬指數	2003/01/23	1.7129
Y9997 報酬指數	2003/01/24	-0.4229
Y9997 報酬指數	2003/01/27	-1.6754
Y9997 報酬指數	2003/01/28	0.856
Y9997 報酬指數	2003/02/06	-3.6206
Y9997 報酬指數	2003/02/07	-2.0318
Y9997 報酬指數	2003/02/10	-1.9323
Y9997 報酬指數	2003/02/11	-0.5359
Y9997 報酬指數	2003/02/12	0.1275
Y9997 報酬指數	2003/02/13	-2.528
Y9997 報酬指數	2003/02/14	-0.3099
Y9997 報酬指數	2003/02/17	4.6973
Y9997 報酬指數	2003/02/18	-2.1205
Y9997 報酬指數	2003/02/19	-1.1829
Y9997 報酬指數	2003/02/20	-0.0029
Y9997 報酬指數	2003/02/21	-0.0519
Y9997 報酬指數	2003/02/24	1.3379
Y9997 報酬指數	2003/02/25	-3.3597
Y9997 報酬指數	2003/02/26	0.0525
Y9997 報酬指數	2003/02/27	-0.5436
Y9997 報酬指數	2003/03/03	2.1259
Y9997 報酬指數	2003/03/04	-0.5964
Y9997 報酬指數	2003/03/05	-1.813
Y9997 報酬指數	2003/03/06	-0.4678
Y9997 報酬指數	2003/03/07	-1.0655
Y9997 報酬指數	2003/03/10	-0.7033
Y9997 報酬指數	2003/03/11	-1.3783
Y9997 報酬指數	2003/03/12	1.5891
Y9997 報酬指數	2003/03/13	1.1745
Y9997 報酬指數	2003/03/14	2.2192
Y9997 報酬指數	2003/03/17	-2.6401
Y9997 報酬指數	2003/03/18	4.1701
Y9997 報酬指數	2003/03/19	-0.5429
Y9997 報酬指數	2003/03/20	1.8644
Y9997 報酬指數	2003/03/21	-0.2681
Y9997 報酬指數	2003/03/24	-0.3542
Y9997 報酬指數	2003/03/25	-1.572
Y9997 報酬指數	2003/03/26	-0.0616
Y9997 報酬指數	2003/03/27	0.4045
Y9997 報酬指數	2003/03/28	-0.8246
Y9997 報酬指數	2003/03/31	-3.4799
Y9997 報酬指數	2003/04/01	0.3793
Y9997 報酬指數	2003/04/02	-0.6005
Y9997 報酬指數	2003/04/03	1.0863
Y9997 報酬指數	2003/04/04	3.23
Y9997 報酬指數	2003/04/07	1.7037
Y9997 報酬指數	2003/04/08	-0.5109
Y9997 報酬指數	2003/04/09	-0.3308
Y9997 報酬指數	2003/04/10	0.0875
Y9997 報酬指數	2003/04/11	-0.2413
Y9997 報酬指數	2003/04/14	-1.558
Y9997 報酬指數	2003/04/15	0.6228
Y9997 報酬指數	2003/04/16	2.7125
Y9997 報酬指數	2003/04/17	-0.9161
Y9997 報酬指數	2003/04/18	2.0068
Y9997 報酬指數	2003/04/21	-0.2185
Y9997 報酬指數	2003/04/22	-1.9798
Y9997 報酬指數	2003/04/23	0.194
Y9997 報酬指數	2003/04/24	-4.162
Y9997 報酬指數	2003/04/25	-3.2321
