證券代碼	年月日	報酬率％
TRI50 T50 報酬指數	2002/07/04	 
TRI50 T50 報酬指數	2002/07/05	3.215
TRI50 T50 報酬指數	2002/07/08	3.1523
TRI50 T50 報酬指數	2002/07/09	0.4533
TRI50 T50 報酬指數	2002/07/10	-2.1201
TRI50 T50 報酬指數	2002/07/11	-1.5351
TRI50 T50 報酬指數	2002/07/12	4.6666
TRI50 T50 報酬指數	2002/07/15	-0.7626
TRI50 T50 報酬指數	2002/07/16	-1.3363
TRI50 T50 報酬指數	2002/07/17	-1.6374
TRI50 T50 報酬指數	2002/07/18	-0.6724
TRI50 T50 報酬指數	2002/07/19	-2.1904
TRI50 T50 報酬指數	2002/07/22	-2.5077
TRI50 T50 報酬指數	2002/07/23	2.6989
TRI50 T50 報酬指數	2002/07/24	-3.1742
TRI50 T50 報酬指數	2002/07/25	0.3256
TRI50 T50 報酬指數	2002/07/26	-4.3622
TRI50 T50 報酬指數	2002/07/29	-0.8644
TRI50 T50 報酬指數	2002/07/30	3.4062
TRI50 T50 報酬指數	2002/07/31	-1.395
TRI50 T50 報酬指數	2002/08/01	-0.7529
TRI50 T50 報酬指數	2002/08/02	-0.2057
TRI50 T50 報酬指數	2002/08/05	-6.098
TRI50 T50 報酬指數	2002/08/06	-0.8043
TRI50 T50 報酬指數	2002/08/07	3.6635
TRI50 T50 報酬指數	2002/08/08	-0.4908
TRI50 T50 報酬指數	2002/08/09	3.7129
TRI50 T50 報酬指數	2002/08/12	0.0168
TRI50 T50 報酬指數	2002/08/13	-0.5795
TRI50 T50 報酬指數	2002/08/14	1.6591
TRI50 T50 報酬指數	2002/08/15	1.3384
TRI50 T50 報酬指數	2002/08/16	0.0993
TRI50 T50 報酬指數	2002/08/19	-0.856
TRI50 T50 報酬指數	2002/08/20	1.0012
TRI50 T50 報酬指數	2002/08/21	-1.0156
TRI50 T50 報酬指數	2002/08/22	1.3022
TRI50 T50 報酬指數	2002/08/23	0.3291
TRI50 T50 報酬指數	2002/08/26	-0.9794
TRI50 T50 報酬指數	2002/08/27	-1.6871
TRI50 T50 報酬指數	2002/08/28	-2.2135
TRI50 T50 報酬指數	2002/08/29	0.2414
TRI50 T50 報酬指數	2002/08/30	-1.0101
TRI50 T50 報酬指數	2002/09/02	-2.7634
TRI50 T50 報酬指數	2002/09/03	-0.9018
TRI50 T50 報酬指數	2002/09/04	-1.2141
TRI50 T50 報酬指數	2002/09/05	-1.7702
TRI50 T50 報酬指數	2002/09/09	1.9752
TRI50 T50 報酬指數	2002/09/10	3.1388
TRI50 T50 報酬指數	2002/09/11	-0.2687
TRI50 T50 報酬指數	2002/09/12	-0.3513
TRI50 T50 報酬指數	2002/09/13	-1.729
TRI50 T50 報酬指數	2002/09/16	-2.892
TRI50 T50 報酬指數	2002/09/17	4.3812
TRI50 T50 報酬指數	2002/09/18	-4.0726
TRI50 T50 報酬指數	2002/09/19	0.1168
TRI50 T50 報酬指數	2002/09/20	-2.1027
TRI50 T50 報酬指數	2002/09/23	-2.8383
TRI50 T50 報酬指數	2002/09/24	-0.9887
TRI50 T50 報酬指數	2002/09/25	-2.2305
TRI50 T50 報酬指數	2002/09/26	1.3061
TRI50 T50 報酬指數	2002/09/27	-0.7042
TRI50 T50 報酬指數	2002/09/30	-0.3475
TRI50 T50 報酬指數	2002/10/01	-1.0404
TRI50 T50 報酬指數	2002/10/02	0.2952
TRI50 T50 報酬指數	2002/10/03	-3.1047
TRI50 T50 報酬指數	2002/10/04	-0.2444
TRI50 T50 報酬指數	2002/10/07	-4.2653
TRI50 T50 報酬指數	2002/10/08	1.1253
TRI50 T50 報酬指數	2002/10/09	-0.45
TRI50 T50 報酬指數	2002/10/11	-2.6755
TRI50 T50 報酬指數	2002/10/14	2.874
TRI50 T50 報酬指數	2002/10/15	6.0338
TRI50 T50 報酬指數	2002/10/16	3.2624
TRI50 T50 報酬指數	2002/10/17	1.4062
TRI50 T50 報酬指數	2002/10/18	4.7166
TRI50 T50 報酬指數	2002/10/21	-0.2671
TRI50 T50 報酬指數	2002/10/22	-2.2679
TRI50 T50 報酬指數	2002/10/23	5.2131
TRI50 T50 報酬指數	2002/10/24	-0.3439
TRI50 T50 報酬指數	2002/10/25	-0.1368
TRI50 T50 報酬指數	2002/10/28	0.3629
TRI50 T50 報酬指數	2002/10/29	-0.6894
TRI50 T50 報酬指數	2002/10/30	-1.8985
TRI50 T50 報酬指數	2002/10/31	1.5931
TRI50 T50 報酬指數	2002/11/01	-2.0771
TRI50 T50 報酬指數	2002/11/04	2.554
TRI50 T50 報酬指數	2002/11/05	-0.2205
TRI50 T50 報酬指數	2002/11/06	4.1083
TRI50 T50 報酬指數	2002/11/07	1.011
TRI50 T50 報酬指數	2002/11/08	0.6124
TRI50 T50 報酬指數	2002/11/11	-4.1136
TRI50 T50 報酬指數	2002/11/12	0.2938
TRI50 T50 報酬指數	2002/11/13	-0.2736
