證券代碼	年	序號	事件日
U4DST 下市	2023    	000025	19790604
U4DST 下市	2023    	000026	19881020
U4DST 下市	2023    	000027	20050808
U4DST 下市	2023    	000028	19720110
U4DST 下市	2023    	000029	19721228
U4DST 下市	2023    	000030	19730129
U4DST 下市	2023    	000031	19730207
U4DST 下市	2023    	000032	20031110
U4DST 下市	2023    	000033	19730531
U4DST 下市	2023    	000034	20060626
U4DST 下市	2023    	000035	19731126
U4DST 下市	2023    	000036	19750707
U4DST 下市	2023    	000037	19760209
U4DST 下市	2023    	000038	19780910
U4DST 下市	2023    	000039	19790717
U4DST 下市	2023    	000040	19930401
U4DST 下市	2023    	000041	19790825
U4DST 下市	2023    	000042	19810105
U4DST 下市	2023    	000043	19810115
U4DST 下市	2023    	000044	19810224
U4DST 下市	2023    	000045	19820205
U4DST 下市	2023    	000046	19820225
U4DST 下市	2023    	000047	19921007
U4DST 下市	2023    	000048	19790315
U4DST 下市	2023    	000049	20040428
U4DST 下市	2023    	000050	19890815
U4DST 下市	2023    	000051	20050705
U4DST 下市	2023    	000052	19990205
U4DST 下市	2023    	000053	19971208
U4DST 下市	2023    	000054	19620209
U4DST 下市	2023    	000055	19800704
U4DST 下市	2023    	000056	19891109
U4DST 下市	2023    	000057	19920514
U4DST 下市	2023    	000024	19650417
U4DST 下市	2023    	000023	20140116
U4DST 下市	2023    	000022	20111212
U4DST 下市	2023    	000021	19951020
U4DST 下市	2023    	000020	19941011
U4DST 下市	2023    	000019	20040707
U4DST 下市	2023    	000018	19921001
U4DST 下市	2023    	000017	19920318
U4DST 下市	2023    	000016	19911123
U4DST 下市	2023    	000015	19790606
U4DST 下市	2023    	000014	19680801
U4DST 下市	2023    	000013	19750707
U4DST 下市	2023    	000012	19740627
U4DST 下市	2023    	000011	19661129
U4DST 下市	2023    	000010	19710106
U4DST 下市	2023    	000009	19980202
U4DST 下市	2023    	000008	19640824
U4DST 下市	2023    	000007	19781120
U4DST 下市	2023    	000006	20071022
U4DST 下市	2023    	000005	19871224
U4DST 下市	2023    	000004	19941206
U4DST 下市	2023    	000003	19951212
U4DST 下市	2023    	000002	19951227
U4DST 下市	2023    	000001	19960628
U4DST 下市	2023    	000058	19971002
U4DST 下市	2023    	000059	19980827
U4DST 下市	2023    	000060	19981204
U4DST 下市	2023    	000061	20010919
U4DST 下市	2023    	000062	20110112
U4DST 下市	2023    	000063	20141016
U4DST 下市	2023    	000064	19630624
