證券代碼	年	序號	事件日
U1TSE 上市	2023    	000001	19620209
U1TSE 上市	2023    	000002	19620618
U1TSE 上市	2023    	000003	19691127
U1TSE 上市	2023    	000004	19710202
U1TSE 上市	2023    	000005	19900606
U1TSE 上市	2023    	000006	19911205
U1TSE 上市	2023    	000007	19941022
U1TSE 上市	2023    	000008	19620209
U1TSE 上市	2023    	000009	19640824
U1TSE 上市	2023    	000010	19780520
U1TSE 上市	2023    	000011	19810410
U1TSE 上市	2023    	000012	19870727
U1TSE 上市	2023    	000013	19871228
U1TSE 上市	2023    	000014	19891028
U1TSE 上市	2023    	000015	19891111
U1TSE 上市	2023    	000016	19901201
U1TSE 上市	2023    	000017	19911120
U1TSE 上市	2023    	000018	19910424
U1TSE 上市	2023    	000019	19930927
U1TSE 上市	2023    	000020	19940409
U1TSE 上市	2023    	000021	19760719
U1TSE 上市	2023    	000022	19951102
U1TSE 上市	2023    	000023	19960209
U1TSE 上市	2023    	000024	19970318
U1TSE 上市	2023    	000025	19990120
U1TSE 上市	2023    	000026	19990312
U1TSE 上市	2023    	000027	19930111
U1TSE 上市	2023    	000028	20000911
U1TSE 上市	2023    	000029	19980508
U1TSE 上市	2023    	000030	20010919
U1TSE 上市	2023    	000031	20120905
U1TSE 上市	2023    	000032	20160317
U1TSE 上市	2023    	000033	19640727
U1TSE 上市	2023    	000034	19671115
U1TSE 上市	2023    	000035	19720520
U1TSE 上市	2023    	000036	19730305
U1TSE 上市	2023    	000037	19851123
U1TSE 上市	2023    	000038	19860620
U1TSE 上市	2023    	000039	19860627
U1TSE 上市	2023    	000040	19870806
U1TSE 上市	2023    	000041	19881221
U1TSE 上市	2023    	000042	19890327
U1TSE 上市	2023    	000043	19910712
U1TSE 上市	2023    	000044	19920509
U1TSE 上市	2023    	000045	19921015
U1TSE 上市	2023    	000046	19941212
U1TSE 上市	2023    	000047	19990126
U1TSE 上市	2023    	000048	19960717
U1TSE 上市	2023    	000049	20000911
U1TSE 上市	2023    	000050	19971226
U1TSE 上市	2023    	000051	20000911
U1TSE 上市	2023    	000052	19990329
U1TSE 上市	2023    	000053	20000911
U1TSE 上市	2023    	000054	19841220
U1TSE 上市	2023    	000055	20110817
U1TSE 上市	2023    	000056	20121219
U1TSE 上市	2023    	000057	20120424
U1TSE 上市	2023    	000058	20140114
U1TSE 上市	2023    	000059	20181224
U1TSE 上市	2023    	000060	20201124
U1TSE 上市	2023    	000061	19670414
U1TSE 上市	2023    	000062	19731008
U1TSE 上市	2023    	000063	19731008
U1TSE 上市	2023    	000064	19751227
U1TSE 上市	2023    	000065	19760205
U1TSE 上市	2023    	000066	19760420
U1TSE 上市	2023    	000067	19761228
U1TSE 上市	2023    	000068	19770214
U1TSE 上市	2023    	000069	19770314
U1TSE 上市	2023    	000070	19790402
U1TSE 上市	2023    	000071	19820726
U1TSE 上市	2023    	000072	19851224
U1TSE 上市	2023    	000073	19871228
U1TSE 上市	2023    	000074	19880411
U1TSE 上市	2023    	000075	19881110
U1TSE 上市	2023    	000076	19881215
U1TSE 上市	2023    	000077	19890522
U1TSE 上市	2023    	000078	19891003
U1TSE 上市	2023    	000079	19891027
U1TSE 上市	2023    	000080	19891116
U1TSE 上市	2023    	000081	19900421
U1TSE 上市	2023    	000082	19900808
U1TSE 上市	2023    	000083	19910205
U1TSE 上市	2023    	000084	19911015
U1TSE 上市	2023    	000085	19920128
U1TSE 上市	2023    	000086	19920506
U1TSE 上市	2023    	000087	19921221
U1TSE 上市	2023    	000088	19921228
U1TSE 上市	2023    	000089	19930419
U1TSE 上市	2023    	000090	19930507
U1TSE 上市	2023    	000091	19931007
U1TSE 上市	2023    	000092	19931209
U1TSE 上市	2023    	000093	19941020
U1TSE 上市	2023    	000094	19941026
U1TSE 上市	2023    	000095	19950428
U1TSE 上市	2023    	000096	19961205
U1TSE 上市	2023    	000097	19970118
U1TSE 上市	2023    	000098	19970908
U1TSE 上市	2023    	000099	19980404
U1TSE 上市	2023    	000100	19981221
U1TSE 上市	2023    	000101	19990121
U1TSE 上市	2023    	000102	19990521
U1TSE 上市	2023    	000103	19990420
U1TSE 上市	2023    	000104	20000306
U1TSE 上市	2023    	000105	19990114
U1TSE 上市	2023    	000106	20000911
U1TSE 上市	2023    	000107	19990415
U1TSE 上市	2023    	000108	20000911
U1TSE 上市	2023    	000109	19990616
U1TSE 上市	2023    	000110	20001031
U1TSE 上市	2023    	000111	19980430
U1TSE 上市	2023    	000112	20001027
U1TSE 上市	2023    	000113	20010418
U1TSE 上市	2023    	000114	20030121
U1TSE 上市	2023    	000115	19691215
U1TSE 上市	2023    	000116	19731105
U1TSE 上市	2023    	000117	19800811
U1TSE 上市	2023    	000118	19940128
U1TSE 上市	2023    	000119	19940308
U1TSE 上市	2023    	000120	19940326
U1TSE 上市	2023    	000121	19950204
U1TSE 上市	2023    	000122	19950401
U1TSE 上市	2023    	000123	19950407
U1TSE 上市	2023    	000124	19951114
U1TSE 上市	2023    	000125	19970416
U1TSE 上市	2023    	000126	19971006
U1TSE 上市	2023    	000127	19971006
U1TSE 上市	2023    	000128	19970130
U1TSE 上市	2023    	000129	19981030
U1TSE 上市	2023    	000130	19990515
U1TSE 上市	2023    	000131	20000327
U1TSE 上市	2023    	000132	19990112
U1TSE 上市	2023    	000133	20000621
U1TSE 上市	2023    	000134	19980225
U1TSE 上市	2023    	000135	20000911
U1TSE 上市	2023    	000136	19981210
U1TSE 上市	2023    	000137	20000911
U1TSE 上市	2023    	000138	19981229
U1TSE 上市	2023    	000139	20000911
U1TSE 上市	2023    	000140	19990602
U1TSE 上市	2023    	000141	20000911
U1TSE 上市	2023    	000142	19970118
U1TSE 上市	2023    	000143	20000911
U1TSE 上市	2023    	000144	20010406
U1TSE 上市	2023    	000145	20000104
U1TSE 上市	2023    	000146	20010919
U1TSE 上市	2023    	000147	20000329
U1TSE 上市	2023    	000148	20010919
U1TSE 上市	2023    	000149	20020122
U1TSE 上市	2023    	000150	19990108
U1TSE 上市	2023    	000151	20020826
U1TSE 上市	2023    	000152	20010514
U1TSE 上市	2023    	000153	20021029
U1TSE 上市	2023    	000154	19990409
U1TSE 上市	2023    	000155	20020826
U1TSE 上市	2023    	000156	20030319
U1TSE 上市	2023    	000157	20071228
U1TSE 上市	2023    	000158	20141223
U1TSE 上市	2023    	000159	20050131
U1TSE 上市	2023    	000160	20140514
U1TSE 上市	2023    	000161	20070111
U1TSE 上市	2023    	000162	20091217
U1TSE 上市	2023    	000163	20080124
U1TSE 上市	2023    	000164	20180416
U1TSE 上市	2023    	000165	20120427
U1TSE 上市	2023    	000166	20101213
U1TSE 上市	2023    	000167	20121228
U1TSE 上市	2023    	000168	20201223
U1TSE 上市	2023    	000169	20160920
U1TSE 上市	2023    	000170	19680603
U1TSE 上市	2023    	000171	19710107
U1TSE 上市	2023    	000172	19721103
