Date,50_Portfolio_Daily_Return,TW50TR_Daily_Return,
2019/1/2,2019/1/2,-0.02318791,-0.022293
2019/1/3,2019/1/3,-0.01022134,-0.00872
2019/1/4,2019/1/4,-0.017454707,-0.017146
2019/1/7,2019/1/7,0.026990051,0.023668
2019/1/8,2019/1/8,-0.003222758,-0.003574
2019/1/9,2019/1/9,0.020030143,0.019894
2019/1/10,2019/1/10,-0.002108589,-0.000996
2019/1/11,2019/1/11,0.009517612,0.008661
2019/1/14,2019/1/14,-0.005429916,-0.006066
2019/1/15,2019/1/15,0.006647119,0.010134
2019/1/16,2019/1/16,-0.009042323,-0.006828
2019/1/17,2019/1/17,0.006112726,0.005502
2019/1/18,2019/1/18,0.001731345,0.002509
2019/1/21,2019/1/21,0.00708933,0.006287
2019/1/22,2019/1/22,0.004546849,0.003153
2019/1/23,2019/1/23,-0.009252268,-0.007894
2019/1/24,2019/1/24,0.002170271,0.004489
2019/1/25,2019/1/25,0.011683722,0.011483
2019/1/28,2019/1/28,0.004722725,0.00482
2019/1/29,2019/1/29,-0.011342414,-0.01159
2019/1/30,2019/1/30,-0.002176272,-0.001494
2019/2/11,2019/2/11,0.010304703,0.01001
2019/2/12,2019/2/12,0.010698887,0.009447
2019/2/13,2019/2/13,8.56E-05,-0.001886
2019/2/14,2019/2/14,-0.004540144,-0.003512
2019/2/15,2019/2/15,-0.002782674,-0.003206
2019/2/18,2019/2/18,0.010375126,0.008846
2019/2/19,2019/2/19,-0.000813341,-0.001629
2019/2/20,2019/2/20,0.014096962,0.015287
2019/2/21,2019/2/21,0.008460778,0.005983
2019/2/22,2019/2/22,0.000993616,0.001721
2019/2/25,2019/2/25,0.003539595,0.006209
2019/2/26,2019/2/26,-0.000166036,0.000922
2019/2/27,2019/2/27,-0.003130953,-0.000786
2019/3/4,2019/3/4,-0.011212568,-0.008839
2019/3/5,2019/3/5,-0.005664386,-0.005225
2019/3/6,2019/3/6,0.006382553,0.005464
2019/3/7,2019/3/7,-0.000122321,-0.002263
2019/3/8,2019/3/8,-0.011409941,-0.010849
2019/3/11,2019/3/11,0.000178016,7.10E-05
2019/3/12,2019/3/12,0.013139217,0.0124
2019/3/13,2019/3/13,0.003482747,0.004157
2019/3/14,2019/3/14,-0.005031058,-0.004329
2019/3/15,2019/3/15,0.010911436,0.008857
2019/3/18,2019/3/18,0.007517575,0.007446
2019/3/19,2019/3/19,0.000945078,5.20E-05
2019/3/20,2019/3/20,0.0042214,0.003956
2019/3/21,2019/3/21,0.008314309,0.007742
2019/3/22,2019/3/22,0.003542475,0.004837
2019/3/25,2019/3/25,-0.014021438,-0.018118
2019/3/26,2019/3/26,0.008560547,0.009569
2019/3/27,2019/3/27,-0.004540509,-0.004019
2019/3/28,2019/3/28,0.000937519,0.000159
2019/3/29,2019/3/29,0.010141965,0.011249
2019/4/1,2019/4/1,0.000485458,0.001784
2019/4/2,2019/4/2,0.004289577,0.004633
2019/4/3,2019/4/3,0.000995565,0.000317
2019/4/8,2019/4/8,0.011036013,0.012061
2019/4/9,2019/4/9,0.005264984,0.006006
2019/4/10,2019/4/10,-0.000962793,0.000394
2019/4/11,2019/4/11,-0.003703203,-0.004737
2019/4/12,2019/4/12,0.001408274,0.00054
2019/4/15,2019/4/15,0.006130294,0.007662
2019/4/16,2019/4/16,0.00226843,0.005218
2019/4/17,2019/4/17,0.005083164,0.007822
