code,年月,當季季底P/E,當季季底P/B,ROE(B)－常續利益,季底普通股市值,季別
1101,Jun-05,8.26,0.97,6.07,51989263,2
1102,Jun-05,6.4,0.98,7.59,45045864,2
1103,Jun-05,26.63,0.85,0.23,8710506,2
1104,Jun-05,8.28,0.53,2.61,4905555,2
1108,Jun-05, ,0.74,2.78,3181241,2
1109,Jun-05,12.38,0.73,2.57,4084927,2
1110,Jun-05,12.89,0.51,2.29,4111835,2
1201,Jun-05,24.68,1.56,4.6,5465470,2
1203,Jun-05,22.6,0.6,-0.56,1904202,2
1210,Jun-05,6.85,0.84,8.27,4012229,2
1213,Jun-05,130.46,0.74,0.16,428950,2
1215,Jun-05, ,0.55,1.16,1250620,2
1216,Jun-05,17.08,1.21,3.53,50293222,2
1217,Jun-05,75.39,0.8,0.34,3020885,2
1218,Jun-05, ,0.68,-0.67,2251657,2
1219,Jun-05,22.3,0.47,2.07,1535372,2
1220,Jun-05, ,0.63,1.44,1062462,2
1225,Jun-05,67.54,0.51,2.16,927390,2
1227,Jun-05,8.59,0.9,6.67,3867062,2
1229,Jun-05,10.19,0.75,3.93,7455258,2
1231,Jun-05,70.97,0.68,1.21,1120718,2
1232,Jun-05,10.62,1.33,7.6,2839539,2
1233,Jun-05,13.07,2.05,7.88,2172439,2
1234,Jun-05,109.14,0.59,0.39,5352922,2
1235,Jun-05,14.02,0.91,3.16,519233,2
1236,Jun-05,11.08,1.33,5.91,1263387,2
1301,Jun-05,8.67,2.15,11.6,287689689,2
1303,Jun-05,8.28,1.87,9.98,325737777,2
1304,Jun-05,164.59,0.91,-2.82,8832564,2
1305,Jun-05, ,0.95,-12.63,4396711,2
1307,Jun-05,10.13,1.35,7.56,4444742,2
1308,Jun-05,10.51,0.93,3.28,3938576,2
1309,Jun-05,12796.3,0.7,-2.55,2610453,2
1310,Jun-05,216.51,1.7,-3.92,10175672,2
1312,Jun-05,10.81,1.11,-1.76,6558196,2
1313,Jun-05,8.11,0.87,3.65,8685642,2
1314,Jun-05,5.2,0.78,13.24,14060792,2
1315,Jun-05,29.69,0.88,0.84,2596362,2
1316,Jun-05, ,0.4,-2.13,300310,2
1319,Jun-05,16.36,2.89,6.18,18532789,2
1321,Jun-05, ,0.89,-0.88,2632263,2
1323,Jun-05,10.62,0.73,3.09,677295,2
1324,Jun-05,35.24,0.74,0.66,647645,2
1325,Jun-05, ,0.72,0.2,809128,2
1326,Jun-05,7.55,2.14,13.66,299886054,2
1402,Jun-05,4.7,1.19,8.44,86062299,2
1409,Jun-05, ,0.71,-2.51,9701489,2
1410,Jun-05, ,0.5,-1.21,554400,2
1413,Jun-05, ,0.39,-9.4,859444,2
1414,Jun-05, ,0.56,-10.08,974600,2
1416,Jun-05, ,0.45,-1,2089175,2
1417,Jun-05, ,0.87,-6.6,3234527,2
1418,Jun-05, ,0.38,-5.18,825866,2
1419,Jun-05,117.46,0.88,0.56,3586440,2
1423,Jun-05, ,0.36,-2.15,846296,2
1432,Jun-05, ,3.39,-3.79,868872,2
1434,Jun-05,24.73,1.22,1.63,25988914,2
1435,Jun-05,378.72,0.84,1.66,963084,2
1436,Jun-05, ,0.56,-0.32,2112000,2
1437,Jun-05, ,0.75,-4.54,1749794,2
1438,Jun-05, ,0.63,-7.7,164882,2
1439,Jun-05, ,0.68,-0.74,937180,2
1440,Jun-05,42.03,0.58,0.43,12127415,2
1441,Jun-05, ,0.46,-8.44,329095,2
1442,Jun-05,117.82,2,1.04,2350844,2
1443,Jun-05, ,0.38,-2.39,921335,2
